"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2019","5,056.35","5,052.33","5,073.79","5,039.99","83.93M","0.84%"
"Feb 11, 2019","5,014.47","4,988.09","5,023.29","4,986.30","72.21M","1.06%"
"Feb 08, 2019","4,961.64","4,980.81","5,005.64","4,946.14","103.29M","-0.48%"
"Feb 07, 2019","4,985.56","5,075.75","5,083.89","4,985.56","114.70M","-1.84%"
"Feb 06, 2019","5,079.05","5,060.65","5,083.81","5,058.04","87.94M","-0.08%"
"Feb 05, 2019","5,083.34","5,009.83","5,083.34","4,997.53","89.91M","1.66%"
"Feb 04, 2019","5,000.19","5,014.31","5,019.40","4,970.70","72.85M","-0.38%"
"Feb 01, 2019","5,019.26","5,004.65","5,023.37","4,980.50","82.26M","0.53%"
"Jan 31, 2019","4,992.72","4,993.09","5,016.28","4,955.50","105.82M","0.36%"
"Jan 30, 2019","4,974.76","4,943.68","4,974.76","4,942.64","70.99M","0.95%"
"Jan 29, 2019","4,928.18","4,889.34","4,949.45","4,879.66","68.46M","0.81%"
"Jan 28, 2019","4,888.58","4,903.95","4,912.10","4,878.62","66.85M","-0.76%"
"Jan 25, 2019","4,925.82","4,895.59","4,931.80","4,890.90","85.53M","1.11%"
"Jan 24, 2019","4,871.96","4,839.59","4,883.90","4,832.40","85.45M","0.65%"
"Jan 23, 2019","4,840.38","4,831.92","4,875.41","4,820.14","81.03M","-0.15%"
"Jan 22, 2019","4,847.53","4,841.18","4,863.30","4,824.06","70.10M","-0.42%"
"Jan 21, 2019","4,867.78","4,865.79","4,872.62","4,859.76","50.95M","-0.17%"
"Jan 18, 2019","4,875.93","4,825.97","4,881.57","4,824.26","109.41M","1.70%"
"Jan 17, 2019","4,794.37","4,782.63","4,801.67","4,772.64","85.23M","-0.34%"
"Jan 16, 2019","4,810.74","4,811.59","4,816.49","4,784.79","83.61M","0.51%"
"Jan 15, 2019","4,786.17","4,799.58","4,816.73","4,754.69","86.00M","0.49%"
"Jan 14, 2019","4,762.75","4,740.31","4,773.15","4,730.55","71.65M","-0.39%"
"Jan 11, 2019","4,781.34","4,814.66","4,821.28","4,760.84","79.42M","-0.51%"
"Jan 10, 2019","4,805.66","4,788.76","4,805.66","4,759.76","78.49M","-0.16%"
"Jan 09, 2019","4,813.58","4,811.18","4,843.48","4,801.83","97.09M","0.84%"
"Jan 08, 2019","4,773.27","4,722.16","4,810.27","4,719.23","101.15M","1.15%"
"Jan 07, 2019","4,719.17","4,757.01","4,760.27","4,690.22","76.19M","-0.38%"
"Jan 04, 2019","4,737.12","4,649.63","4,750.51","4,636.79","98.94M","2.72%"
"Jan 03, 2019","4,611.49","4,641.80","4,671.28","4,607.68","81.18M","-1.66%"
"Jan 02, 2019","4,689.39","4,642.18","4,699.98","4,606.20","79.36M","-0.87%"
"Dec 31, 2018","4,730.69","4,708.74","4,731.49","4,696.12","23.97M","1.11%"
"Dec 28, 2018","4,678.74","4,641.05","4,700.49","4,623.97","69.67M","1.74%"
"Dec 27, 2018","4,598.61","4,689.20","4,692.43","4,555.99","92.22M","-0.60%"
"Dec 24, 2018","4,626.39","4,650.42","4,664.20","4,622.03","25.36M","-1.45%"
"Dec 21, 2018","4,694.38","4,672.77","4,696.18","4,628.24","192.92M","0.04%"
"Dec 20, 2018","4,692.46","4,709.75","4,719.61","4,685.61","124.58M","-1.78%"
"Dec 19, 2018","4,777.45","4,766.73","4,794.01","4,761.63","99.17M","0.49%"
"Dec 18, 2018","4,754.08","4,773.19","4,804.98","4,754.08","112.66M","-0.95%"
"Dec 17, 2018","4,799.87","4,840.12","4,847.50","4,788.88","86.41M","-1.11%"
"Dec 14, 2018","4,853.70","4,853.12","4,873.16","4,822.89","92.45M","-0.88%"
"Dec 13, 2018","4,896.92","4,926.86","4,935.48","4,890.44","90.92M","-0.26%"
"Dec 12, 2018","4,909.45","4,834.24","4,924.66","4,829.12","110.10M","2.15%"
"Dec 11, 2018","4,806.20","4,781.94","4,853.92","4,770.07","105.10M","1.35%"
"Dec 10, 2018","4,742.38","4,797.92","4,809.98","4,732.02","111.81M","-1.47%"
"Dec 07, 2018","4,813.13","4,813.62","4,877.13","4,812.38","98.47M","0.68%"
"Dec 06, 2018","4,780.46","4,898.35","4,898.35","4,760.98","144.86M","-3.32%"
"Dec 05, 2018","4,944.37","4,963.18","4,976.63","4,941.45","80.93M","-1.36%"
"Dec 04, 2018","5,012.66","5,036.95","5,043.26","5,012.48","86.84M","-0.82%"
"Dec 03, 2018","5,053.98","5,112.58","5,115.13","5,043.20","105.05M","1.00%"
"Nov 30, 2018","5,003.92","5,016.45","5,016.86","4,974.99","111.31M","-0.05%"
"Nov 29, 2018","5,006.25","5,026.66","5,036.81","4,995.95","84.67M","0.46%"
"Nov 28, 2018","4,983.24","4,998.14","5,007.47","4,977.93","86.87M","0.00%"
"Nov 27, 2018","4,983.15","4,992.53","5,013.69","4,958.71","87.96M","-0.24%"
"Nov 26, 2018","4,994.98","4,982.54","5,023.78","4,973.71","97.15M","0.97%"
"Nov 23, 2018","4,946.95","4,939.79","4,968.50","4,913.72","63.89M","0.18%"
"Nov 22, 2018","4,938.14","4,958.89","4,961.35","4,923.80","62.41M","-0.75%"
"Nov 21, 2018","4,975.50","4,949.72","4,978.92","4,930.25","84.76M","1.03%"
"Nov 20, 2018","4,924.89","4,962.85","4,967.98","4,894.30","100.38M","-1.21%"
"Nov 19, 2018","4,985.45","5,040.68","5,062.75","4,979.98","78.12M","-0.79%"
"Nov 16, 2018","5,025.20","5,068.64","5,081.00","4,986.19","102.70M","-0.17%"
"Nov 15, 2018","5,033.62","5,097.09","5,106.56","4,993.48","102.95M","-0.70%"
"Nov 14, 2018","5,068.85","5,062.44","5,131.04","5,026.22","91.08M","-0.65%"
